,pregunta,respuesta
0,"['horario', 'atencion', 'escuelar', 'sistema']",el horario de atencion en la escuela es de 8:00 am a 12:00 pm y de 2:00pm a 6:00 pm
1,"['horario', 'materia', 'ingenierio', 'sistema']",los horarios se actualizan cada semestre dependiendo del criterio del comit� de curr�culum
2,"['inscribir', 'materia']","Cada semestre la escuela presenta tres horarios que se puede inscribir a trav�s de registro academico, cada mater�a tiene un horario y unos cupos en especifico."
3,"['oportunidad', 'participar', 'actividad', 'extracurricular']","Existen semilleros y grupos estudiantiles dedicados a la Ingenieria de Sistemas, donde los estudiantes pueden reunirse, compartir conocimientos e involucrarse en proyectos relacionados con su area de interes. Estos semilleros a menudo organizan eventos, talleres y conferencias para fomentar el aprendizaje y la colaboracion entre los estudiantes"
4,"['formato', 'presentacion', 'documento']",http://www.uptc.edu.co/facultades/f_ingenieria/pregrado/sistemas/inf_adicional/aspectos_academicos/
5,"['contenido', 'programatico']",http://www.uptc.edu.co/facultades/f_ingenieria/pregrado/sistemas/inf_adicional/cont_prog/
6,"['requisito', 'unir', 'él', 'grupo', 'investigacion', 'semillero']","La Escuela de Ingenieria de Sistemas y Computacion tomando como base el principio de que el proceso investigativo est� intimamente relacionado con los procesos de creacion, transmision y aplicacion del conocimiento, cuenta con los siguientes grupos de investigacion: Grupo de Investigacion en Telem�tica y TIC aplicadas, Grupo de Investigacion en Software, Grupo de Investigacion en Manejo de Informacion"
7,"['proceso', 'matriculo', 'universidad']","Si eres nuevo al correo debe llegar la fecha y la hora de entrega de documentos, una vez entregas los documentos y todo esta en orden debes ir a que te tomen la foto para el carnet, en caso de que no seas nuevo unicamente debes pagar el semestre y automaticamente quedas matriculado."
8,"['poder', 'matricular', 'ingenierio', 'sistema']","Obten la solicitud de admision y el formulario de matricula de la universidad. Puedes descargarlos desde su sitio web oficial o solicitarlos en la oficina de admisiones. Completa la solicitud de admision y proporciona toda la informacion requerida, como tus datos personales, antecedentes educativos, experiencia relevante, etc. Reune los documentos necesarios para la matricula, como tu certificado de educacion secundaria, notas academicas, identificacion personal, fotografias, etc. Presenta la solicitud de admision y los documentos requeridos en la oficina de admisiones de la universidad dentro del plazo establecido. Espera la respuesta de la universidad con respecto a tu solicitud de admision. En caso de ser aceptado, recibiras una notificacion oficial de admision. Una vez que hayas sido admitido, sigue las instrucciones proporcionadas por la universidad para realizar el proceso de matricula. Esto puede incluir el pago de la matricula, la seleccion de asignaturas y la firma de documentos adicionales."
9,"['costo', 'matriculo', 'proximo', 'semestre']","El costo de la matricula depende de tu nivel socioeconomico, puede que aumente un poco el valor cada semestre, pero el costo total es basado en tu nivel adquisitivo"
10,"['suceder', 'si', 'poder', 'pagar', 'culo', 'tiempo']","Si no puedes pagar la matricula a tiempo, es importante comunicarte con la oficina de finanzas de la universidad para discutir posibles soluciones, como planes de pago diferido o solicitar ayuda financiera"
11,"['poder', 'obtener', 'formulario', 'culo']",Puedes obtener el formulario de matricula en la oficina de admisiones de la universidad o a trav�s de su sitio web oficial
12,"['programa', 'ofrecer', 'escuelar', 'egresado']",Puede acceder a los documentos PDF con los documentos y formatos relacionados con trabajo de grado y el programa acad�mico mediante el siguiente enlace: http://www.uptc.edu.co/facultades/f_ingenieria/pregrado/sistemas/inf_adicional/aspectos_academicos/
13,"['universidad', 'poder', 'ayudarme', 'conseguir', 'trabajar']","La universidad ofrece el servicio de empleo, para registrarse en la bolsa de empleo puede seguir la siguiente gu�a: http://www.uptc.edu.co/export/sites/default/vie/graduados/doc/bolsa_de_empleo.pdf"
14,"['relacion', 'graduado', 'universidad']","La Universidad Pedag�gica y Tecnol�gica de Colombia, ha establecido en su Estatuto General, que ""La Universidad reconoce al Egresado de cualquiera de sus programas acad�micos, como elemento fundamental de la comunidad universitaria�. Por lo tanto, la UPTC se ha propuesto encaminar sus esfuerzos en el apoyo y seguimiento a sus graduados, para que sigan contando con la universidad y se afiance el v�nculo Graduado-UPTC, avanzando en la construcci�n de una efectiva Pol�tica de Comunidad Upetecista que fortalezca el sentido de pertenencia por la universidad desde el mismo momento de ingreso a la instituci�n y en el transcurso de su carrera para que, como futuro profesional graduado de la UPTC, se enfrente con seguridad al mundo laboral y genere su aporte de conocimiento y trabajo como factor fundamental en la sociedad en la relaci�n Universidad, Sector Productivo, Estado, as�, promover la retribuci�n de conocimiento que los miles de profesionales Upetecistas puedan aportar a su Alma Mater. Para m�s informaci�n http://www.uptc.edu.co/vie/graduados/departamen"
